STATION,NAME,city,id
USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",Anchorage,PANC
USW00024131,"BOISE AIR TERMINAL, ID US",Boise,KBOI
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",Chicago,KORD
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",Denver,KDEN
USW00094847,"DETROIT METRO AIRPORT, MI US",Detroit,KDTW
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",Honolulu,PHNL
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",Houston,KIAH
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",New York,KJFK
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",Miami,KMIA
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",Minneapolis,KMIC
USW00013897,"NASHVILLE INTERNATIONAL AIRPORT, TN US",Nashville,KBNA
USW00013967,"OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US",Oklahoma City,KOKC
USW00023183,"PHOENIX AIRPORT, AZ US",Phoenix,KPHX
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",Portland OR,KPDX
USW00014764,"PORTLAND JETPORT, ME US",Portland ME,KPWM
USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",Salt Lake City,KSLC
USW00023188,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",San Diego,KSAN
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",San Francisco,KSFO
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",Seattle,KSEA
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",Washington DC,KDCA